kwh_credit_primary_key,satellite,bill_start,bill_end,kwh_credit_applied,kwh_credit_applied_value,kwh_credit_type,production_period,customer,identifier,discount,kwh_credit_primary_key_unique_check,entry
10017300566_43585_43647_43668_credits_000001,10017300566,4/30/2019,7/1/2019,1108,-46.16,credits,7/22/2019,CUST-00552,10017300566_43585_43647_43668_credits,10.00%,1,1
10035641462_43586_43615_43668_credits_000001,10035641462,5/1/2019,5/30/2019,474,-38.95,credits,7/22/2019,CUST-00489,10035641462_43586_43615_43668_credits,10.00%,1,2
10013669683_43587_43619_43668_credits_000001,10013669683,5/2/2019,6/3/2019,634,-52.87,credits,7/22/2019,CUST-00405,10013669683_43587_43619_43668_credits,10.00%,1,3
10014050719_43587_43619_43668_credits_000001,10014050719,5/2/2019,6/3/2019,400,-28.21,credits,7/22/2019,CUST-00409,10014050719_43587_43619_43668_credits,10.00%,1,4
10037053864_43587_43621_43668_credits_000001,10037053864,5/2/2019,6/5/2019,473,-39.98,credits,7/22/2019,CUST-00418,10037053864_43587_43621_43668_credits,10.00%,1,5
10037053864_43587_43621_43668_credits_000002,10037053864,5/2/2019,6/5/2019,473,-39.98,credits,7/22/2019,CUST-00418,10037053864_43587_43621_43668_credits,10.00%,2,6
10042864925_43587_43620_43668_credits_000001,10042864925,5/2/2019,6/4/2019,763,-64.08,credits,7/22/2019,CUST-00695,10042864925_43587_43620_43668_credits,10.00%,1,7
10041041798_43588_43621_43668_credits_000001,10041041798,5/3/2019,6/5/2019,1760,-148.74,credits,7/22/2019,CUST-00443,10041041798_43588_43621_43668_credits,10.00%,1,8
10016024993_43594_43623_43668_credits_000001,10016024993,5/9/2019,6/7/2019,826,-71.21,credits,7/22/2019,CUST-00783,10016024993_43594_43623_43668_credits,10.00%,1,9
10019275832_43600_43630_43668_credits_000001,10019275832,5/15/2019,6/14/2019,403,-36.1,credits,7/22/2019,CUST-00520,10019275832_43600_43630_43668_credits,10.00%,1,10
10041552026_43600_43628_43668_credits_000001,10041552026,5/15/2019,6/12/2019,341,-30.26,credits,7/22/2019,CUST-00488,10041552026_43600_43628_43668_credits,10.00%,1,11
10034211036_43601_43630_43668_credits_000001,10034211036,5/16/2019,6/14/2019,146,-13.1,credits,7/22/2019,CUST-00762,10034211036_43601_43630_43668_credits,10.00%,1,12
10012374194_43601_43633_43668_credits_000001,10012374194,5/16/2019,6/17/2019,1730,-127.96,credits,7/22/2019,CUST-00690,10012374194_43601_43633_43668_credits,10.00%,1,13
10042040369_43603_43662_43668_credits_000001,10042040369,5/18/2019,7/16/2019,2177,-202.15,credits,7/22/2019,CUST-00541,10042040369_43603_43662_43668_credits,10.00%,1,14
10047148613_43603_43663_43668_credits_000001,10047148613,5/18/2019,7/17/2019, -   ,0,credits,7/22/2019,CUST-00788,10047148613_43603_43663_43668_credits,10.00%,1,15
10018167816_43606_43636_43668_credits_000001,10018167816,5/21/2019,6/20/2019,1057,-80.12,credits,7/22/2019,CUST-00776,10018167816_43606_43636_43668_credits,10.00%,1,16
10039139919_43609_43641_43668_credits_000001,10039139919,5/24/2019,6/25/2019,252,-23.46,credits,7/22/2019,CUST-00737,10039139919_43609_43641_43668_credits,10.00%,1,17
10016691551_43609_43640_43668_credits_000001,10016691551,5/24/2019,6/24/2019,217,-16.64,credits,7/22/2019,CUST-00733,10016691551_43609_43640_43668_credits,10.00%,1,18
10044499217_43609_43640_43668_credits_000001,10044499217,5/24/2019,6/24/2019,115,-10.67,credits,7/22/2019,CUST-00780,10044499217_43609_43640_43668_credits,10.00%,1,19
10044798964_43609_43640_43668_credits_000001,10044798964,5/24/2019,6/24/2019,131,-12.97,credits,7/22/2019,CUST-00612,10044798964_43609_43640_43668_credits,10.00%,1,20
10030854110_43611_43641_43668_credits_000001,10030854110,5/26/2019,6/25/2019,37,-3.47,credits,7/22/2019,CUST-00713,10030854110_43611_43641_43668_credits,10.00%,1,21
10013569107_43612_43643_43668_credits_000001,10013569107,5/27/2019,6/27/2019,295,-27.9,credits,7/22/2019,CUST-00684,10013569107_43612_43643_43668_credits,10.00%,1,22
10036386463_43614_43642_43668_credits_000001,10036386463,5/29/2019,6/26/2019,955,-90.93,credits,7/22/2019,CUST-00754,10036386463_43614_43642_43668_credits,10.00%,1,23
10012271044_43614_43641_43668_credits_000001,10012271044,5/29/2019,6/25/2019,1083,-102.94,credits,7/22/2019,CUST-00569,10012271044_43614_43641_43668_credits,10.00%,1,24
10012273792_43614_43642_43668_credits_000001,10012273792,5/29/2019,6/26/2019,535,-50.93,credits,7/22/2019,CUST-00570,10012273792_43614_43642_43668_credits,10.00%,1,25
10034469147_43614_43642_43668_credits_000001,10034469147,5/29/2019,6/26/2019,86,-8.19,credits,7/22/2019,CUST-00578,10034469147_43614_43642_43668_credits,10.00%,1,26
10036613296_43614_43643_43668_credits_000001,10036613296,5/29/2019,6/27/2019,560,-53.4,credits,7/22/2019,CUST-00579,10036613296_43614_43643_43668_credits,10.00%,1,27
10039410674_43614_43643_43668_credits_000001,10039410674,5/29/2019,6/27/2019,868,-82.78,credits,7/22/2019,CUST-00562,10039410674_43614_43643_43668_credits,10.00%,1,28
10042462035_43614_43642_43668_credits_000001,10042462035,5/29/2019,6/26/2019,238,-22.66,credits,7/22/2019,CUST-00691,10042462035_43614_43642_43668_credits,10.00%,1,29
10013962898_43614_43643_43668_credits_000001,10013962898,5/29/2019,6/27/2019,345,-32.9,credits,7/22/2019,CUST-00787,10013962898_43614_43643_43668_credits,10.00%,1,30
10044300514_43615_43644_43668_credits_000001,10044300514,5/30/2019,6/28/2019,511,-48.93,credits,7/22/2019,CUST-00745,10044300514_43615_43644_43668_credits,10.00%,1,31
10044782760_43615_43643_43668_credits_000001,10044782760,5/30/2019,6/27/2019,205,-19.6,credits,7/22/2019,CUST-00739,10044782760_43615_43643_43668_credits,10.00%,1,32
10012333406_43615_43642_43668_credits_000001,10012333406,5/30/2019,6/26/2019,1056,-99.6,credits,7/22/2019,CUST-00571,10012333406_43615_43642_43668_credits,10.00%,1,33
10012333414_43615_43642_43668_credits_000001,10012333414,5/30/2019,6/26/2019,765,-73.03,credits,7/22/2019,CUST-00571,10012333414_43615_43642_43668_credits,10.00%,1,34
10013635148_43615_43643_43668_credits_000001,10013635148,5/30/2019,6/27/2019,1029,-97.19,credits,7/22/2019,CUST-00543,10013635148_43615_43643_43668_credits,10.00%,1,35
10013768329_43615_43643_43668_credits_000001,10013768329,5/30/2019,6/27/2019,1397,-133.59,credits,7/22/2019,CUST-00545,10013768329_43615_43643_43668_credits,10.00%,1,36
10013768337_43615_43643_43668_credits_000001,10013768337,5/30/2019,6/27/2019,2004,-191.62,credits,7/22/2019,CUST-00545,10013768337_43615_43643_43668_credits,10.00%,1,37
10015260416_43615_43644_43668_credits_000001,10015260416,5/30/2019,6/28/2019,631,-60.42,credits,7/22/2019,CUST-00535,10015260416_43615_43644_43668_credits,10.00%,1,38
10016118993_43615_43644_43668_credits_000001,10016118993,5/30/2019,6/28/2019,558,-53.43,credits,7/22/2019,CUST-00445,10016118993_43615_43644_43668_credits,10.00%,1,39
10016119090_43615_43644_43668_credits_000001,10016119090,5/30/2019,6/28/2019,1142,-109.34,credits,7/22/2019,CUST-00539,10016119090_43615_43644_43668_credits,10.00%,1,40
